,Status,Data,PNL,Ler,Autor ler,Editora,Ouvir,Artista ouvir,Editora ouvir,Ver,Plataforma,Jogar,Para Ir
1,Enviada,01-04-2021,0,Jornal O Negro - Edição comemorativa do 110º aniversário,,,Samba de Guerrilha,Luca Argel,Independente,[Histórias das Mulheres do Meu País],RTP Play,Florence,Westway Lab
2,Enviada,08-04-2021,0,Caderno de Memórias Coloniais,Isabela Figueiredo,Caminho,Esperar Pra Ver,Perpétua,Independente,[Até que o porno nos separe],RTP Play,A Short Hike,Fonoteca Municipal do Porto
3,Enviada,15-04-2021,0,O Sarilho,Shizamura,,A Ponte- Podcast Madremedia,,,Brandos Costumes (Canal Q),CanalQ,Estoril 1942,"Prazer, Camaradas! ? Sessões Cine Clube de Viseu e Cine Clube de Santarém"
4,Enviada,22-04-2021,0,VOLTA PRA TUA TERRA,,,VIVER / FESTA,C.O.M.A,Independente,7 Poemas Para Um Mundo Novo,RTP Play,FEZ,Terceira Pessoa ? Tekné ? Castelo Branco
5,Enviada,29-04-2021,0,Racismo no País dos Brandos Costumes,Joana Gorjão Henriques,,Palavras Cruzadas,David & Miguel,,Sérgio Godinho no Palácio de S.Bento,RTP Palco,Swords of Ditto,"SHITZ, Companhia de Teatro de Almada"
6,Enviada,06-05-2021,1,PNL - Obras completas Maria Judite de Carvalho,Maria Judite de carvalho,Minotauro,Archives 2012-2020,Violet,,"Orquestra Jazz de Matosinhos - Músicas Brasileiras, Músicos Portugueses",RTP Palco,Out of Space,Festival Política (Braga)
7,Enviada,13-05-2021,0,"Não Dá para Ficar Parado - Música Afro-Portuguesa, celebração, conflito e esperança",Vítor Belanciano,Edições Afrontamento,Royale,Cálculo,,Último a Sair,RTP Play,Cities Skylines,"Mulheres e Resistência ? Novas Cartas Portuguesas e outras lutas, no Museu do Aljube"
8,Enviada,20-05-2021,1,PNL - Maré alta,Pedro Vieira,Companhia das Letras,Cycles,y.azz x b-mywingz,,Variações,RTP Play,Gris,Oeiras Ignição Gerador
9,Enviada,27-05-2021,0,O Labirinto da Saudade,Eduardo Lourenço,Gradiva,Reconstruir das Ruínas ,,,Um Ramadão em Lisboa,RTP Play,Strikers Edge,Outfest Barreiro
10,Enviada,03-06-2021,1,"PNL - Luanda, Lisboa Paraíso",Djaimilia Pereira de Almeida,Companhia das Letras,Wormhole,Vasco Completo,Monster Jinx,Body-buildings,RTP Palco,Dicey Dungeons,ESTALO! - Guimarães / RSD 2021
11,Enviada,10-06-2021,0,Uma questão de inteligência,João Gabriel Ribeiro,,Septeto interregional,Septeto interregional,Lovers & Lollipops,The Internet's own boy,Libreflix,Celeste,Rama Em Flor
12,Enviada,17-06-2021,1,PNL - Com o mar por meio : uma amizade em cartas,Saramago / Jorge Amado,Companhia das Letras,2011-2013,Sensible Soccers,,Elbjazz Festival 2021,Arte Concert,Spiritfarer,Festival Imaterial ? Évora
13,Enviada,24-06-2021,0,Livros projeto Adamastor,,,Garfo,Garfo,Clean Feed,SOQNÃO,RTP Play,Totally Reliable Delivery Service,WOOL ? Festival Arte Urbana Covilhã
14,Enviada,01-07-2021,1,PNL - Satânia,Judith Teixeira,E-primatur,Cosmorama,Beautify Junkyards,Ghost Box,Colectiv - Um Caso de Corrupção,Cinema,Crypt of the NecroDancer,Jardins Efémeros (Viseu) 
15,Enviada,08-07-2021,0,Querosene,,Chili com Carne,A Praia dos Ossos (Podcast),,,Peixe Fora D?Água,RTP Play,Risco,Festival de Teatro de Almada
16,Enviada,15-07-2021,1,PNL - Sob Céus Vermelhos,Karoline Kan,Quetzal,PELADINHA,Torcida Records Club,,Maria João Pires Toca Beethoven com Orquestra Gulbenkian ,RTP Palco,Transistor,Curtas Vila do Conde
17,Enviada,22-07-2021,0,Mamute #3,,,Demolition Derby,Minta & The Brook Trout,,Mulheres na Resistência,RTP Play,Townseek,Feira do Livro Viana do Castelo
18,Enviada,29-07-2021,0,Revista Shifter,,,Pior Que Estragado,Por Assim Dizer,,Jogos Olímpicos,RTP2,Pathway,"Exposição ""Lisboa Negra | Cabo Verde no Tecido Multicultural e Multifacetado de Lisboa"""
19,Enviada,05-08-2021,1,PNL - Cidade Infecta,Teresa Veiga,Tinta da China,Isolamento Voluntário,Daniel Catarino,,"José Afonso, Traz um Amigo também",RTP Palco,Munchkin,Festival L?Agosto
